Donation_Number,Item,Notes,Qty
88,Mirror,,
88,Sink,,
88,Towel Rod,,
89,Anchors,Titen,60
89,Carpet Brackets,Simpson EPB44,50
90,Dishwasher,,
91,Toilet,New,
92,"Door, Bifold",,
92,"Door, Storm",multiple,
92,Duct,,
92,Mirror,multiple,
92,"Sink, Utility",,
93,Box Extenders,,
93,"Light Bulb, Florescent",,
93,"Light Bulb, HID",,
93,Miscellaneous,,
93,"Saw, Hole",,
93,Wire,Roll; 9#14xHHW,2
94,"Shelving, Plastic",,
94,Threaded Rod,All Thread; 20lbs,2
95,Pressure Tank,,
96,"Lawn Mower, Gas",,
96,Light,,
97,"Blinds, Bamboo",Large 6',
97,"Blinds, Bamboo",3',
97,Carpet Tiles,,
97,Closer Rod,New,
97,"Door, Accordian",Closet; with hardware,
97,Holiday Light Clips,,
97,Paint,,
98,"Range, Electric",,
99,"Light, Outdoor Wall",,1
99,"Light, Recessed",Trim,6
100,Dryer,,
100,Washer,,
101,Cable,,
101,Light ,,5
101,Outlet Cover,multiple,
101,Shelving,,
101,Spice Rack,,
101,Towel Rod,,
101,Towel Rod,and hooks,
